SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.334	0.333	0.333	0.334	0.333	0.334	0.333	0.333	0.0	0.333	0.333
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
